Lobbyist_ID,Firstname,Middlename,Lastname,Suffix,Branch,Employer
1940,TIA,WILLIAMS,EDWARDS,,Legislative and Executive and Local,The Tim Johnson Consulting Group
412,JESSICA,JOHNSON,ELLIOTT,,Legislative,Louisiana Retailers Association
126,KIM,BARRIOS,ELSTON,,Executive,Novo Nordisk
1345,TIA,HAWTHORNE,EMBAUGH,,Legislative,self
269,GREG,,ERATH,,Not currently registered,"American International Group, Inc."
446,DONNA,RENE',ERWIN,,Not currently registered,Bristol-Myers Squibb Company
204,THOMAS,BARRY,ERWIN,JR,Legislative,Council for A Better Louisiana
1246,LAUREN,ELIZABETH,ESTOPINAL,,Legislative and Executive,Louisiana Oil and Gas Association
610,LYNDA,B,EVANS,,Not currently registered,Capital Region Builders Association
259,STEPHEN,,EVANS,,Not currently registered,Louisiana Family Recovery Coporation
453,KERRY,L,EVERITT,,Not currently registered,AARP
39,BRIAN,COLE,FAHRENTHOLD,,Legislative and Executive,Spectra Energy
951,JIMMY,R,FAIRCLOTH,JR,Legislative and Executive,"The Faircloth Law Group, LLC"
1013,BART,,FARMER,,Executive,Providence Engineering and Environmental Group LLC
1576,RACHEL,C,FARMER,,Legislative and Executive,"United HealthCare Services, Inc."
797,KIMBERLY,BANKER,FARQUHAR,,Not currently registered,Greater Shreveport Chamber of Commerce
13,LEE,MICHAEL,FAUCETTE,,Legislative,Louisiana Association of School Executives
959,TOMMY,JOSEPH,FAUCHEUX,JR,Legislative and Executive,The Dow Chemical Company
720,SCOTT,,FAULK,,Executive,CenterPoint Energy
1050,GRETCHEN,B,FAURIA,,Not currently registered,The Clayton Thompson Group
2095,GEORGE,IRWIN,FAWCETT,,Legislative and Local,Louisiana Rural Electric Association
233,MELINDA,,FAYARD,,Not currently registered,Melinda Fayard and Associates dba Video Gaming Compliance
249,NICHOLAS,G,FELTON,JR,Legislative and Executive,New Orleans Fire Fighters Association Local 632
554,ROBERT,W,FENET,,Legislative and Executive and Local,"Fenet Law Firm, LLC"
183,NORMAN,C,FERACHI,,Legislative and Executive,"Norman C. Ferachi & Associates, Inc."
620,PATTY,A,FERGUSON,,Not currently registered,Sacks Tierney P.A.
1339,CHARLES,,FIEDLER,,Not currently registered,"RREEF America, LLC"
2007,CANDACE,NICOLE,FIELDS,,Not currently registered,Butler Snow
68,DARLENE,NONE,FIELDS,,Not currently registered,"Prefect Strategy, LLC"
581,CHRISTOPHER,,FINK,,Not currently registered,Merrill Lynch
225,JOHN,JOSEPH,FINN,,Not currently registered,CommCare Corporation
810,DEREK,,FITCH,,Not currently registered,Cyntreniks LLC
190,DARREL,E,FLANEL,,Not currently registered,Merrill Lynch
852,MAGGIE,B,FLETCHER,,Not currently registered,"Baker, Donelson, Bearman, Caldwell and Berkowitz"
1211,MELISSA,SCOTT,FLOURNOY,,Not currently registered,"Louisiana Progress Action Fund, Inc."
780,EDWARD,,FLYNN,,Executive,Jefferies LLC
862,KIM,,FONTENOT,,Not currently registered,The Fontenot Group
158,SCOTT,,FONTENOT,,Legislative,Wells Fargo
143,TERI,G,FONTENOT,,Not currently registered,Woman's Hospital
883,JESSICA,,FORD,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
738,JOHN,DANIEL,FORD,,Legislative and Executive,Gulf South Strategic and Media LLC
794,WILLIAM,KURT,FOREMAN,,Not currently registered,North Louisiana Economic Partnership
1168,GAREY,,FORSTER,,Legislative and Executive,"Roedel, Parsons, Koch, Blache, Balhoff & McCollister"
180,MURPHY,JAMES,FOSTER,JR,Not currently registered,Self-employed
2120,BEAU,HEBERT,FOURRIER,,Legislative,LA Association for Justice
517,KYLE,MARTIN,FRANCE,,Legislative and Executive and Local,Whiskey Oaks Development
1103,ALEX,,FRANCO,,Legislative and Executive,"Mead Johnson Nutrition Company; Mead Johnson & Company, LLC"
804,PERRY,J,FRANKLIN,,Legislative and Executive and Local,"Franklin Associates, LLC"
338,JOHN,A,FREDERIC,JR,Not currently registered,LouIsiana State Lodge Fraternal Order of Police
235,ALBERT,CHARLES,FREDERICK,,Not currently registered,consultant
985,DENNIS,WAYNE,FREE,,Not currently registered,Louisiana Association of Educators
439,WANDA,HENDRIX,FREEDMAN,,Legislative and Executive,Jones Walker
1213,ROY,,FREEMAN,,Executive,Nomura Asset Management U.S.A. Inc.
1297,LOUIS,,FREIMILLER,,Legislative,AmeriHealth Mercy
570,PAUL,D,FREY,,Legislative,Louisiana Landowners Assoc.
31,GREGORY,,FROST,,Legislative and Executive,"Breazeale, Sachse & Wilson, LLP"
11,JIM,W,FUNK,,Not currently registered,Jim Funk
445,JULIE,RENEE,FUSELIER,,Legislative and Executive,Phyllis Perron and Associates
656,JULIE,A,FUSILIER,,Not currently registered,"Julie A. Fusilier, Attorney at Law, L.L.C."
499,JOHN,A,GALLAGHER,,Legislative and Executive,Louisiana Municipal Association
578,PAUL,TUDOR,GALLAGHER,,Legislative,"Paul T. Gallagher, Attorney at Law"
451,DANNIE,P,GARRETT,III,Legislative and Executive,Self
124,TOBY,MICHAEL,GASCON,,Not currently registered,Toby M. Gascon
363,CATHY,F,GAUTREAUX,,Legislative and Executive and Local,"Louisiana Motor Transport Association, Inc."
1599,NICHOLAS,T,GAUTREAUX,,Legislative and Executive,"Direct Solutions Strategies, LLC"
182,JOSEPH,V,GENDRON,,Legislative and Executive,Louisiana Bankers Association
1291,KAMI,E,GEOFFRAY,,Not currently registered,Louisiana Coalition Against Domestic Violence
1218,RON,,GEOGHEGAN,,Executive,Snap-Tite
1049,LOURDES,,GERMAN,,Not currently registered,"Fidelity Capital Markets, a division of National Financial Services LLC"
1151,JOSEPH,,GIAMFORTONE,,Not currently registered,"Reckitt Benckiser Pharmaceuticals, Inc."
104,LEE,,GIANNONE,,Not currently registered,"Mondrian Investment Partners (U.S.), Inc."
95,ROBERT,AUGUST,GILBERT,,Legislative and Executive,United Services Automobile Association
876,GREG,,GILLUM,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
609,JAMES,ARTHUR,GILMORE,,Not currently registered,"The Bayard Research Group, LLC"
1271,SHERRI,,GIORGIO,,Not currently registered,"Medtronic, Inc."
1495,RONALD,A,GITZ,,Legislative and Executive,Society of Louisiana CPAs
757,FRAN,B,GLADDEN,,Legislative and Executive,Cox Communications
801,DARRELL,E,GLASCOCK,,Legislative and Executive,self
381,STEPHEN,WINSTON,GLUSMAN,,Legislative and Executive,"Glusman, Broyles & Glusman, LLC"
450,BRACE,B JR,GODFREY,,Not currently registered,Cyntreniks LLC (self-employed)
467,BRACE,,GODFREY,III,Not currently registered,Cyntreniks LLC
1578,THOMAS,KYLE,GODFREY,,Executive,"United HealthCare Services, Inc."
90,CALLISTA,A,GOHEEN,,Legislative and Executive,"MedImmune, LLC"
127,GINA,ELIZABETH,GOINGS,,Legislative and Executive and Local,"The Goings Group, LLC"
1170,GARY,,GOLBY,,Not currently registered,EKR Therapeutics
187,JUSTIN,J,GOLDSTEIN,,Executive and Local,"Goldman, Sachs & Co."
1147,BRENT,WILLIAM,GOLLEHER,,Legislative and Executive and Local,Louisiana Mid-Continent Oil and Gas Association
193,RUDY,GERARD,GOMEZ,,Legislative and Executive,SSA Consultants
1498,ELIZABETH,,GOODMAN,,Not currently registered,"WellCare Health Plans, Inc."
858,JOHN,HURTER,GORDON,,Not currently registered,"Orleans Capital Management, Inc"
157,DAVID,BRIAN,GOURGUES,,Not currently registered,Northrop Grumman
512,HENRY,T,GRAHAM,,Legislative and Executive,Louisiana Chemical Association
428,JENNIFER,L,GRAND,,Not currently registered,Ducks Unlimited
896,HERMAN,L,GRAVOLET,,Legislative and Executive,GRAVOLET POLITICAL STRATEGIES
714,KEITH,,GREEN,,Not currently registered,ING North America Insurance Corporation
1973,DON,,GREGORY,,Legislative,The Public Affairs Research Council of Louisiana
1126,RYAN,,GREMILLION,,Not currently registered,Baton Rouge Area Chamber
942,DEBORAH,B,GRIFFITH,,Not currently registered,AT&T
1232,LAUNEY,PATTON,GRIFFITH,,Not currently registered,Associated Professional Educators of Louisiana
1017,JENNIFER,H,GRIGSBY,,Not currently registered,"Impact Management Group, Inc."
411,DAVID,L,GUERRY,,Legislative and Executive,"Long Law Firm, LLP"
589,LEAH,,GUERRY,,Legislative,Louisiana Association for Justice
746,CHRISTOPHER,A,GUIDRY,,Legislative and Executive and Local,Guidry Associates LLC
254,GEORGE,H,GUIDRY,JR,Legislative and Executive and Local,"Koch Companies Public Sector, LLC"
1163,LYNDA,T,GUIDRY,,Legislative,Louisiana Association of Educator
779,ROBERT,M,GUIDRY,,Legislative and Local,Greater Lafayette Chamber of Commerce
342,JENNIFER,,GUTTIREZ,,Not currently registered,Warner Chilcott
21,WILLIAM,ADAM,HADDOX,,Legislative and Executive,Capitol Resources LLC
30,NEDRA,PATISON,HADLEY,,Executive,"Brandywine Global Investment Management, LLC"
2109,NADIA,,HAGBERG,,Legislative and Executive,"Excellence in Education National, Inc."
931,DEBBY,,HAM,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
146,GWENDOLYN,PATTERSON,HAMILTON,,Not currently registered,Baton Rouge Area Chamber
67,JAMES,M,HAMILTON,,Not currently registered,Hamilton Consulting
261,LEO,C,HAMILTON,,Not currently registered,"Breazeale, Sachse & Wilson, L.L.P."
528,REGINA,,HAMILTON,,Not currently registered,Jones Walker
359,JOSEPH,WESLEY,HAMM,,Not currently registered,Warner Chilcott
740,BRYANT,O'DARE,HAMMETT,,Not currently registered,"Pecue Properties, LLC"
294,CARLA,,HAMPTON,,Not currently registered,The Black Alliance For Educational Options
241,JACK,,HANEMANN,,Not currently registered,Entergy Services
958,CAREN,LOCK,HANSON,,Not currently registered,TIAA-CREF
1137,ERIC,P,HANSON,,Not currently registered,CA Technologies
1829,PAUL,MICHAEL,HARANG,,Legislative and Executive and Local,Tulane University
238,LEONAL,,HARDMAN,,Not currently registered,LA Public Emps. Council No. 17
1286,TIMOTHY,W,HARDY,,Legislative and Executive,"Roedel, Parsons, Koch, Blache, Balhoff & McCollister"
84,DEBORAH,DUPLECHIN,HARKINS,,Legislative and Executive,"McGlinchey Stafford, PLLC"
1277,ELIZABETH,DUNCAN,HARPER,,Legislative and Executive,Elizabeth Duncan Harper
348,KELLI,,HARPER,,Not currently registered,Warner Chilcott
890,MICHAEL,P,HARRELL,,Not currently registered,"Foley & Lardner, LLP"
921,WILL,,HARRELL,,Not currently registered,Will Harrell
948,ITZEL,AISKEL,HARRIOTT,,Not currently registered,"Ekklesia Industries, LLC"
275,JIM,F,HARRIS,,Legislative and Executive and Local,"Harris, DeVille & Associates, Inc."
1107,STAN,,HARRIS,,Legislative and Executive,Louisiana Restaurant Association
1231,SUZANNE,,HARRIS,,Not currently registered,Associated Professional Educators of Louisiana
1349,TERRI,,HARRIS,,Not currently registered,Vertex Pharmaceuticals Inc.
741,WILLIAM,ANTHONY,HARRISON,,Not currently registered,"AOSS Medical Supply, Inc."
894,JAMES,JAY,HARTMAN,,Not currently registered,"James Hartman & Associates, LLC"
836,PATRICK,ALLEN,HARVEY,,Not currently registered,Sunovion Pharmaceuticals
662,RANDY,,HAYDEN,,Legislative and Executive and Local,"Creative Communications, Inc."
430,C,KEVIN,HAYES,,Legislative and Executive,"Adams and Reese, LLP"
564,DEBBIE,,HAYES,,Legislative and Executive,sanofi-aventis
866,MICHAEL,,HAYES,,Executive,"Sasol North America, Inc."
859,THOMAS,,HAYES,,Not currently registered,Teach For America-Greater New Orleans
264,BARBARA,J,HAYNES,,Legislative,Self
990,JOYCE,P,HAYNES,,Not currently registered,Louisiana Association of Educators
214,RANDY,KEEFER,HAYNIE,,Legislative and Executive,Haynie and Associates
46,RYAN,KEEFER,HAYNIE,,Legislative and Executive,Haynie and Associates
149,GRADY,R,HAZEL,,Not currently registered,Society of LA CPAx
864,STEVE,,HAZLEWOOD,,Not currently registered,The Dow Chemcial Company
1580,EDITH,CLAIR,HEBERT,,Executive,Entergy Services Inc
378,JASON,EDWARD,HEBERT,,Not currently registered,"Impact Management Group, Inc."
26,JOSEPH,PATRICK,HEBERT,,Not currently registered,Liskow & Lewis
92,MIMI,ATKINS,HEDGCOCK,,Not currently registered,CHRISTUS Schumpert Health System
930,FRANCIS,C,HEITMEIER,,Executive,"Academy Advisors, L.L.C."
2022,ELISE,,HELGESEN,,Not currently registered,Americans United for Separation of Church and State
969,CHARLES,F,HELLBACH,III,Not currently registered,Atmos Energy
1344,REED,STEPHEN,HENDERSON,,Legislative and Executive,Reed Henderson
237,RUSSELL,,HENDERSON,,Not currently registered,Self
1834,RALPH,BURNS,HENNESSY,,Legislative and Executive and Local,City-Parish of East Baton Rouge
1273,ERIC,,HENNING,,Legislative and Executive,General Motors LLC
558,E,L,HENRY,,Legislative and Executive,"Adams and Reese, LLP"
1827,MICHAEL,,HENRY,,Executive,Alpine Group
396,ASHLEY,DAIRE,HERAD,,Legislative,Louisiana Budget Project
1171,ALVIN,JOHN,HERBERT,,Legislative and Executive,"Taggart Morton, LLC"
778,MICHAEL,,HESTER,,Not currently registered,CenterPoint Energy
635,STEPHEN,,HEYMAN,,Not currently registered,Sallie Mae
361,EUGENE,,HICKOK,,Not currently registered,Dutko Worldwide (Independent Contractor)
212,DON,,HIDALGO,,Legislative and Executive,"Health Associates, LLC"
1030,FRANK,LEROY,HILEMAN,,Not currently registered,LKQ Corporation/Keystone Automotive Industries
893,HOLLI,,HILL,,Legislative and Executive,"Daiichi Sankyo, Inc."
25,KENNETH,J,HILL,,Executive,"Insurance Services Office, Inc."
401,KRISTEN,S,HILL,,Not currently registered,Associated Professional Educators of Louisiana
421,SAM,(TREY) H,HILL,III,Legislative and Executive,Atmos Energy Corporation
952,DONALD,E,HINES,,Legislative and Executive,Rural Hospital Coalition
382,SCOTT,A,HINES,,Not currently registered,Louisiana Associated General Contractors Inc
394,WILLIAM,RAY,HINSON,,Not currently registered,Cox Communications
588,KEITH,,HITCHENS,,Not currently registered,Self-Employed
1033,BRIAN,PETER,HOESLY,,Not currently registered,Pyramis Global Advisors Holding Corp.
586,PHILIP,G,HOFFMAN,,Not currently registered,Hoffman Custom Homes
901,JOHN,GREGORY,HOKE,,Not currently registered,"Reckitt Benckiser Pharmaceuticals, Inc."
1165,TERRY,WAYNE,HOLDEN,,Legislative,Louisiana Association of Educators
304,JULIUS,,HOLLIS,,Not currently registered,The Alliance for Digital Equality
375,CHRIS,,HOLMES,,Not currently registered,"International Business Machines Corporation (""IBM"")"
5,CELESTE,,HOOD,,Legislative and Executive,F.M. Hood & Associates
1248,PATRICIA,,HOOD,,Not currently registered,"International Business Machines Corporation (""IBM"")"
844,PAUL,,HOOPER,,Executive,Sasol North America Inc.
1051,MICHAEL,DAVID,HOUSER,,Not currently registered,Fidelity Brokerage Services LLC
1878,JONAH,C,HOUTS,,Legislative and Executive,Express Scripts Holding Co.
255,DEBBIE,D,HUDNALL,,Legislative and Executive,Louisiana Clerks of Court Association
751,CASSIE,,HUGHES,,Legislative and Executive,"Roedel, Parsons, Koch, Blache, Balhoff & McCollister"
1905,JASON,,HUGHES,,Legislative and Local,"Stand For Children, Inc"
169,MICHELLE,,HUNDLEY,,Not currently registered,Air Products
462,DARRELL,W,HUNT,,Legislative and Executive,The Alchemind Group
580,TYLER,FLETCHER,HUNTER,,Not currently registered,Gilead Sciences
1130,ELLIOT,,HUTCHINSON,,Not currently registered,"Harris, DeVille & Associates, Inc."
527,RICHARD,,HYDE,,Legislative,AGL Resources
971,ERIN,FRANCES,HYMEL,,Not currently registered,AARP
1150,MARY,ALLYSON,IDLETT,,Executive,Sasol North America
242,RICHARD,P,IEYOUB,,Not currently registered,"Carleton, Dunlap, Olinde, Moore & Bohman, LLC"
8,NATALIE,BABIN,ISAACKS,,Legislative and Executive,Louisiana Oil Marketers and Convenience Store Association
300,MICAELA,A,ISLER,,Not currently registered,HSBC GR Corp.
276,ROBERT,CRAIG,ISRAEL,,Legislative and Executive,Louisiana Automobile Dealers Association
814,STEPHANIE,,IVY,,Not currently registered,"Goldman Sachs Asset Management, L.P."
540,ALPHONSE,,JACKSON,,Not currently registered,The Hurst Group Ltd
1020,DEIDRA,LOUISE,JACKSON,,Legislative and Executive and Local,"D. Jackson and Associates, LLC"
170,BRIDGETTE,,JAMISON,,Legislative,Louisiana Association of Business and Industry
771,JENNIFER,NORRIS,JANTZ,,Not currently registered,NAMI Louisiana
281,THOMAS,,JASPER,,Not currently registered,"Policxy & Planning Partners, LLC"
587,DONALD,R,JENKINS,,Not currently registered,"Jenkins Homes, Inc."
932,ERICA,,JESSIE,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
1239,EDUARDO,,JIMENEZ,,Executive,"Entergy Services, Inc."
1205,FRANK,LUCIEN,JOBERT,,Legislative,Retired State Employees Association of Louisiana
194,CHRISTOPHER,CHARLES,JOHN,,Legislative and Executive,Louisiana Mid Continent Oil & Gas Association
414,DAWN,,JOHNSON,,Legislative,Louisiana Retailers Association
727,MICHAEL,K,JOHNSON,,Not currently registered,Warner Chilcott
309,RANDAL,,JOHNSON,,Legislative and Executive,"Southern Strategy Group of Louisiana, LLC"
637,RONNIE,L,JOHNSON,,Legislative and Local,"McGlinchey Stafford, PLLC"
618,TIM,,JOHNSON,,Legislative and Executive and Local,The Tim Johnson Consulting Group
1210,PATRICK,H,JOHNSTON,,Legislative,Gary W. Lambert and Company
1914,BRYAN,,JONES,,Legislative and Executive and Local,HNTB Corporation
1959,CHARLES,DEAN,JONES,,Legislative and Executive and Local,NAFEO
1350,DALLAS,STEPHEN,JONES,,Legislative,"Elite Change, Inc."
1362,FREDERICK,DOUGLASS,JONES,,Legislative and Executive and Local,NAFEO
2008,JERALD,NORMAN,JONES,,Legislative and Executive and Local,Bradley Murchison Kelly & Shea LLC
681,STEPHEN,HARDY,JONES,,Not currently registered,West Feliciana
1125,TERRY,,JONES,,Not currently registered,Baton Rouge Area Chamber
677,THEODORE,LUTRELL,JONES,,Legislative and Executive,Self
756,JAMES,ROBERT,JOYNER,,Not currently registered,LOUISIANA CATTLEMEN'S ASSOCIATION
132,JOSEPH,E,JUBAN,,Legislative and Executive,"Long Law Firm, LLP"
863,PATRICK,R,JUDGE,,Not currently registered,Louisiana Public Transit Association
1828,MAKESHA,L,JUDSON,,Legislative and Executive,March of Dimes Louisiana Chapter
660,ROCHELLE,M,JUELICH,,Not currently registered,"Juelich Consulting, LLC"
163,DANIEL,,JUNEAU,,Legislative and Executive,Lane Grigsby
1182,MONIQUE,,KABITZKE,,Not currently registered,Property Casualty Insurers Association
1115,RITU,,KALRA,,Executive and Local,"Goldman, Sachs & Co."
1031,JOHN,THOMAS,KASAMEYER,,Not currently registered,Fidelity Investments Institutional Services Company Inc.
119,STEVE,,KAUFFMAN,,Legislative,Advocacy Center
79,CAMPBELL,,KAUFMAN,,Not currently registered,Cornerstone Government Affairs
968,MELISSA,ANN,KEASTER,,Not currently registered,Self
489,GABRIELLE,RETTIG,KEES,,Legislative and Executive and Local,Cornerstone Government Affairs
996,BRIAN,P,KELLER,,Legislative and Executive and Local,Louisiana Health Service & Indemnity Company d/b/a Blue Cross and Blue Shield of Louisiana
583,DAVID,LEE,KEMMERLY,,Not currently registered,Humana Inc.
1522,JULIA,,KENNY,,Not currently registered,"PEOple Premier, Inc"
563,MICHAEL,,KEOUGH,,Not currently registered,"Goldman Sachs Asset Management, L.P."
1194,MIKE,ALLEN,KETCHER,,Not currently registered,Novo Nordisk
878,ZENITA,,KEYS,,Not currently registered,"Boehringer Ingelheim Pharmaceuticals, Inc."
759,ROBERT,,KIDD,,Executive,CenterPoint Energy
2063,TANYA,CARTMAN,KIDD,,Local,NPS Pharmaceuticals
954,CLAIRE,ANNA,KIMSEY,,Executive,Dutko Worldwide LLC
343,SUNNY,,KING,,Not currently registered,Warner Chilcott
321,BEN,T,KIRK,,Not currently registered,St. Tammany Homebuilders Association
103,C,KRIS,KIRKPATRICK,,Legislative and Executive,Long Law Firm
370,KRISTOPHER,SCOTT,KIRKPATRICK,,Legislative and Executive and Local,"Roedel, Parson, Koch, Blache, Balhoff and McCollister"
826,MILTON,H,KLEINPETER,JR,Not currently registered,"Amylin Pharmaceuticals, LLC."
761,SHARON,O,KLEINPETER,,Not currently registered,"Sharon Kleinpeter, LLC"
3,ADAM,LEONARD,KNAPP,,Legislative and Executive and Local,Baton Rouge Area Chamber
986,DEBORAH,B,KNAPP,,Not currently registered,Louisiana Association of Educators
192,SHARON,JENEAN,KNIGHT,,Not currently registered,Louisiana State Medical Society
184,ROMAN,,KNYSH,,Executive,Fisher Investments
349,JOHN,DUNBAR,KOCH,,Legislative and Executive,Roedel Parsons Koch Blache Balhoff & McCollister
1406,W,CARY,KOCH,,Not currently registered,"Roedel, Parsons, Koch, Blache, Balhoff & McCollister"
2133,CHARLES,KIERNAN,KOENIGER,,Executive,"Loomis, Sayles & Company, L.P."
1197,JOSEPH,M,KOLAR,,Not currently registered,BuckleySandler LLP
135,LEONARD,RAY,KOPOWSKI,,Legislative and Executive,Louisiana Manufactured Housing Association
652,ANDY,,KOPPLIN,,Not currently registered,Teach For America
1255,CONSTANCE,ANN,KOURY,,Legislative and Executive,Louisiana Association for Justice
505,KELLI,,KRELLER,,Not currently registered,"Enzon Pharmaceuticals, Inc."
1056,TERRI,,KRING,,Not currently registered,CA Technologies
2082,HAMIDA,,LABI,,Legislative and Local,Hamida Labi
900,INA,,LABORDE,,Legislative,LA Public Emps. Council No. 17
128,STEPHANIE,BIENVENU,LABORDE,,Legislative and Executive and Local,"Milling Benson Woodward, L.L.P."
576,MONA,,LACOMBE,,Legislative,Louisiana Amusement and Music Operators Association
603,GREGORY,,LACOST,,Not currently registered,Property Casualty Insurers Association of America
555,BRAD,A,LAMBERT,,Legislative and Executive,"Harris, DeVille & Associates, Inc."
989,LOUIS,JOSEPH,LAMBERT,JR,Not currently registered,Louis J. Lambert Attorney
813,MYRON,ANTHONY,LAMBERT,,Not currently registered,"Entergy Louisiana, LLC"
1129,BLYTHE,,LAMONICA,,Legislative and Executive,"Harris, DeVille & Associates Inc."
448,RANDY,,LANCTOT,,Not currently registered,Louisiana Wildlife Federation
1915,JAMES,ROBERT,LANDRY,,Legislative and Executive,Louisiana Chemical Association
78,JEFFREY,BRIAN,LANDRY,,Legislative and Executive,Louisiana Association of Business and Industry
2014,RICHARD,C,LANDRY,,Local,Cleco Power LLC
1095,TERRY,C,LANDRY,JR,Legislative and Executive and Local,"Acadian Ambulance Services, Inc."
790,WILLIAM,EUSTIS,LANGKOPP,,Not currently registered,Louisiana Hotel and Lodging Assoc
690,GWEN,MANNWEILER,LANGLEY,,Not currently registered,Dutko Worldwide LLC
622,CHARLES,ALLAN,LANPHIER,,Not currently registered,Regional Health Care Group
317,AMANDA,P,LARKINS,,Not currently registered,"APL Consulting, LLC"
429,ANGELA,MARIA,LATINO-GEIER,,Legislative,ASSOCIATED BUILDERS & CONTRACTORS NEW ORLEANS/BAYOU CHAPTER
712,CHAD,MICHAEL,LAUGA,,Legislative and Local,International Brotherhood of Electrical Workers
231,GINGER,A,LAURENT,,Legislative and Executive,Louisiana Bankers Association
282,DAVID,,LAVERGNE,,Legislative and Executive,Louisiana Health Service & Indemnity Company
41,WALTER,WYNN,LAWRENCE,,Not currently registered,"AT&T Services, Inc."
1159,DAVID,P,LAZENBY,,Not currently registered,"Cornerstone Therapeutics, INC"
409,CHARLES,,LEA,,Not currently registered,Capitol Partners
81,DARRICK,ANTOINE,LEBEOUF,,Legislative and Executive,Pfizer Inc.
1161,BETH,ZUSCHLAG,LEBLANC,,Legislative and Executive and Local,Acadian Companies
164,JOHN,,LEBLANC,,Legislative and Executive,Louisiana Association of Business and Industry
362,JULES,BURTON,LEBLANC,III,Not currently registered,RETIRED
730,MICHELE,,LEBLANC,,Not currently registered,"Entlaw LA, PLC"
2005,MACKENZIE,SMITH,LEDET,,Legislative,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC"
493,STEPHEN,W,LEDET,,Legislative and Executive and Local,Entergy Louisiana LLC
532,DAVID,,LEETH,,Not currently registered,"David C. Leeth Construction, Inc."
29,BRENDA,CARMENA,LEFEBURE,,Legislative and Executive,Healthcare Solutions
1097,JODY,,LEGG,,Not currently registered,Avanir Pharmaceuticals
1826,DAVID,,LEHMAN,,Legislative and Executive,National Rifle Association
719,STEPHEN,,LEJEUNE,,Not currently registered,CenterPoint Energy
514,DESIREE,T,LEMOINE,,Legislative and Executive and Local,The Tim Johnson Consulting Group
150,RITA,BONNIE,LEMOINE,,Not currently registered,Procter & Gamble Mfg. Company
925,ARTHUR,J,LENTINI,,Legislative and Executive and Local,"Art Lentini & Associates, LLC"
947,LUKE,JOSHUA,LETLOW,,Not currently registered,QEP Energy Company
1439,CATHERINE,KITCHEN,LEVENDIS,,Legislative and Executive,Ochsner Clinic Foundation
567,DAVID,,LEVY,,Executive and Local,"Goldman, Sachs & Co."
248,ERIC,BERNARD,LEWIS,,Not currently registered,The Black Alliance For Educational Options
1570,JESSE,A,LEWIS,,Legislative and Executive,Bristol-Myers Squibb Company
717,SHACARA,E,LEWIS,,Not currently registered,Every Child Matters Education Fund
35,WILLIE,D,LEWIS,,Not currently registered,East Baton Rouge Clerk of Court
763,LINDA,CALDWELL,LIGHTFOOT,,Not currently registered,Louisiana Press Association
1513,JAMES,,LINK,,Not currently registered,"CA, Inc."
2010,DONALD,WILSON,LITTLE,,Not currently registered,Novonordisk Inc.
272,DANIEL,JAMES,LOAR,,Legislative and Executive,Louisiana Conference of Catholic Bishops
2020,CAREN,,LOCK,,Legislative,Teachers Insurance & Annuity Association - College Retirement Equities Fund
735,TERRENCE,,LOCKETT,,Not currently registered,Axis Strategies LLC
17,BRITTON,KENNETH,LOFTIN,,Not currently registered,Louisiana Democratic Party
534,CURTIS,,LOFTIN,,Not currently registered,Curtis M. Loftin Builders
627,RODNEY,C,LONDON,,Not currently registered,"International Business Machines Corporation (""IBM"")"
459,RONALD,K,LOSPENNATO,,Not currently registered,Southern Poverty Law Center
2045,CHERYL,,LOTT,,Legislative,"Stand For Children, Inc"
1397,VERA,,LOYD,,Not currently registered,Louisiana Association of Educators
982,DAN,L,LUCAS,,Not currently registered,"AT&T Services, Inc."
307,GRAIG,ALAN,LUSCOMBE,,Legislative,Louisiana Retired Teachers Association
356,JON,WILLIAM,LUTHER,,Not currently registered,Home Builders Association of Greater New Orleans
318,RICHARD,MICHAEL,LYONS,,Legislative and Executive and Local,Louisiana Mid-Continent Oil and Gas Association
403,SHELLEY,ANN,MACNARY,,Not currently registered,"Entergy Services, Inc."
949,BRADLEY,DAVID,MADDEN,,Not currently registered,Capital Area United Way
20,LEE,CLAYTON,MADDEN,,Not currently registered,American Federation for Children
152,MARGARET,,MAHONEY,,Legislative and Executive,"Methanex USA, LLC"
483,CHARLES,CHADWICK,MAJOR,,Legislative,Baton Rouge Fire Department
641,CONNIE,H,MAJOR,,Not currently registered,Louisiana Credit Union League
547,RICH,,MAJOR,,Not currently registered,Providence Engineering and Environmental Group LLC
766,DANNYE,W,MALONE,,Not currently registered,"The Malone Law Firm, L.L.C."
770,MICHAEL,DALE,MANCIL,,Not currently registered,Atmos Energy
270,ELIZABETH,,MANGHAM,,Legislative and Executive,"Southern Strategy Group of Louisiana, LLC"
74,JOSEPH,ANTON,MAPES,,Legislative and Executive,"Sutton, Mapes, and Yelverton, Inc."
77,SANDY,ALTAZAN,MAPES,,Legislative and Executive,"Sutton, Mapes, & Yelverton, Inc."
1099,JAY,NATHAN,MAPLES,,Not currently registered,"CA Technologies, Inc."
353,CASEY,,MARANTO,,Not currently registered,Warner Chilcott
840,CHARLES,GABRIEL,MARCEAUX,,Not currently registered,"Marceaux Business Liaisons, LLC"
